Player,DOB,W,F,SF,QF
Federer,1981-08-08,20,11,15,12
López,1981-09-20,0,0,0,4
Ferrer,1982-04-02,0,1,5,11
Roddick,1982-08-30,1,4,5,9
Wawrinka,1985-03-28,3,1,5,9
Tsonga,1985-04-17,0,1,5,9
Berdych,1985-09-17,0,1,6,10
Anderson,1986-05-18,0,2,0,1
Nadal,1986-06-03,22,8,8,9
Monfils,1986-09-01,0,0,2,8
Murray,1987-05-15,3,8,10,9
Djokovic,1987-05-22,21,11,11,9
Gulbis,1988-08-30,0,0,1,1
?ili?,1988-09-28,1,2,2,8
Nishikori,1989-12-29,0,1,2,9
Goffin,1990-12-07,0,0,0,4
Raonic,1990-12-27,0,1,2,7
Dimitrov,1991-05-16,0,0,3,3
Tomic,1992-10-21,0,0,0,1
Thiem,1993-09-03,1,3,2,2
Kyrgios,1995-04-27,0,1,0,3
Medvedev,1996-02-11,1,3,1,1
Berrettini,1996-04-12,0,1,2,3
Khachanov,1996-05-21,0,0,1,2
Zverev,1997-04-20,0,1,4,3
Rublev,1997-10-20,0,0,0,6
Fritz,1997-10-28,0,0,0,1
Tiafoe,1998-01-20,0,0,1,1
Tsitsipas,1998-08-12,0,1,4,0
Ruud,1998-12-22,0,2,0,0
Shapovalov,1999-04-15,0,0,1,2
Auger-Aliassime,2000-08-08,0,0,1,2
Sinner,2001-08-16,0,0,0,4
Alcaraz,2003-05-05,1,0,0,2
